step,operation,timestamp_ns,sequence,gravity_z_g,expected_gesture
0,start,,,,
1,sample,0,0,0.64,
2,sample,10000000,1,0.65,
3,sample,20000000,2,0.6500000000000001,tiltForward
4,sample,30000000,3,-1.0,
5,sample,40000000,4,0.36,
6,sample,50000000,5,0.35,
7,sample,60000000,6,0.3499999999999999,
8,sample,70000000,7,-0.64,
9,sample,80000000,8,-0.65,
10,sample,90000000,9,-0.6500000000000001,tiltBackward
11,sample,100000000,10,-0.36,
12,sample,110000000,11,-0.35,
13,sample,120000000,12,-0.3499999999999999,
14,sample,130000000,13,0.6500000000000001,tiltForward
15,stop,,,,
16,start,,,,
17,sample,140000000,14,-0.6500000000000001,tiltBackward
18,reset,,,,
19,start,,,,
20,sample,150000000,15,0.6500000000000001,tiltForward
21,stop,,,,
